Ad_ID,Campaign_Name,Date,Impressions,Clicks,Conversions,Ad_Spend ($),Revenue ($),Engagements,ROAS
1001,Summer Sale,2025-03-01,196572,8901,1045,4134,13375,26276,3.24
1002,Black Friday,2025-03-02,160712,9907,1937,273,20173,27048,73.89
1003,Holiday Special,2025-03-03,121726,6734,1473,3364,1008,41186,0.3
1004,Black Friday,2025-03-04,83287,2121,130,1327,3436,27974,2.59
1005,New Arrivals,2025-03-05,33867,4227,1675,693,20227,28464,29.19
1006,Black Friday,2025-03-06,186067,8735,1991,1423,2644,17746,1.86
1007,Winter Discount,2025-03-07,70811,3030,823,2493,10168,38262,4.08
1008,Holiday Special,2025-03-08,53379,10085,1256,3032,16247,19929,5.36
1009,Black Friday,2025-03-09,42659,13362,518,2490,5103,43829,2.05
1010,Holiday Special,2025-03-10,112542,643,948,407,11663,45308,28.66
1011,Holiday Special,2025-03-11,174108,7458,194,2478,12444,16479,5.02
1012,Black Friday,2025-03-12,67855,11833,639,2702,19207,36388,7.11
1013,Summer Sale,2025-03-13,199269,8943,1094,3641,13411,47015,3.68
1014,Black Friday,2025-03-14,101627,4638,259,1793,20954,37433,11.69
1015,Holiday Special,2025-03-15,94281,1442,1626,3863,20035,28939,5.19
1016,Holiday Special,2025-03-16,104798,5888,1958,4996,15297,26261,3.06
1017,Summer Sale,2025-03-17,149635,5015,1200,1426,1251,33159,0.88
1018,Summer Sale,2025-03-18,122898,1727,1397,3460,4462,28165,1.29
1019,Holiday Special,2025-03-19,20095,12874,1068,4789,21878,17025,4.57
1020,Winter Discount,2025-03-20,189507,4368,959,3213,24535,25531,7.64
1021,Summer Sale,2025-03-21,181274,13281,1070,4688,12336,38697,2.63
1022,Winter Discount,2025-03-22,101595,13772,1457,1017,19076,43011,18.76
1023,Black Friday,2025-03-23,35041,6247,1690,251,21042,32507,83.83
1024,Holiday Special,2025-03-24,192190,12777,1926,2036,19853,34948,9.75
1025,Black Friday,2025-03-25,37305,1185,617,4363,2490,27241,0.57
1026,Winter Discount,2025-03-26,93693,710,1173,3107,14147,41821,4.55
1027,Holiday Special,2025-03-27,44269,11723,1407,855,20910,25367,24.46
1028,Summer Sale,2025-03-28,50247,3037,766,4708,21435,17675,4.55
1029,Black Friday,2025-03-29,44264,14077,1096,1628,13448,39316,8.26
1030,Black Friday,2025-03-30,158934,13089,891,3098,24185,9892,7.81
1031,Black Friday,2025-03-01,21031,5959,697,3474,8871,8830,2.55
1032,New Arrivals,2025-03-02,63868,2450,1973,1206,19899,30270,16.5
1033,Winter Discount,2025-03-03,39499,12637,1311,114,11809,42405,103.59
1034,Black Friday,2025-03-04,193251,1685,1064,252,11834,16228,46.96
1035,New Arrivals,2025-03-05,187115,9049,1827,791,10782,12439,13.63
1036,New Arrivals,2025-03-06,155742,13700,805,4640,21274,19838,4.58
1037,Black Friday,2025-03-07,55806,2840,940,2448,1755,21137,0.72
1038,Holiday Special,2025-03-08,56492,8226,1037,1368,23358,12083,17.07
1039,New Arrivals,2025-03-09,23067,14914,1692,1955,13215,20540,6.76
1040,Black Friday,2025-03-10,176437,3152,509,1181,17431,44384,14.76
1041,Winter Discount,2025-03-11,130857,2434,1480,2425,9445,4352,3.89
1042,Black Friday,2025-03-12,11133,12584,1407,541,13128,39659,24.27
1043,Winter Discount,2025-03-13,83669,7957,1090,3407,24398,48484,7.16
1044,Holiday Special,2025-03-14,13934,14180,144,1615,23823,7648,14.75
